"","Datum","Ferien"
"228",2015-08-22,"1"
"229",2015-08-23,"1"
"230",2015-08-24,"1"
"231",2015-08-25,"1"
"232",2015-08-26,"1"
"233",2015-08-27,"1"
"234",2015-08-28,"1"
"235",2015-08-29,"1"
"236",2015-10-19,"1"
"237",2015-10-20,"1"
"238",2015-10-21,"1"
"239",2015-10-22,"1"
"240",2015-10-23,"1"
"241",2015-10-24,"1"
"242",2015-10-25,"1"
"243",2015-10-26,"1"
"244",2015-10-27,"1"
"245",2015-10-28,"1"
"246",2015-10-29,"1"
"247",2015-10-30,"1"
"248",2015-10-31,"1"
"249",2015-12-21,"1"
"250",2015-12-22,"1"
"251",2015-12-23,"1"
"252",2015-12-24,"1"
"253",2015-12-25,"1"
"254",2015-12-26,"1"
"255",2015-12-27,"1"
"256",2015-12-28,"1"
"257",2015-12-29,"1"
"258",2015-12-30,"1"
"259",2015-12-31,"1"
"260",2016-01-01,"1"
"261",2016-01-02,"1"
"262",2016-01-03,"1"
"263",2016-01-04,"1"
"264",2016-01-05,"1"
"265",2016-01-06,"1"
"266",2016-03-24,"1"
"267",2016-03-25,"1"
"268",2016-03-26,"1"
"269",2016-03-27,"1"
"270",2016-03-28,"1"
"271",2016-03-29,"1"
"272",2016-03-30,"1"
"273",2016-03-31,"1"
"274",2016-04-01,"1"
"275",2016-04-02,"1"
"276",2016-04-03,"1"
"277",2016-04-04,"1"
"278",2016-04-05,"1"
"279",2016-04-06,"1"
"280",2016-04-07,"1"
"281",2016-04-08,"1"
"282",2016-04-09,"1"
"283",2016-05-06,"1"
"284",2016-07-25,"1"
"285",2016-07-26,"1"
"286",2016-07-27,"1"
"287",2016-07-28,"1"
"288",2016-07-29,"1"
"289",2016-07-30,"1"
"290",2016-07-31,"1"
"291",2016-08-01,"1"
"292",2016-08-02,"1"
"293",2016-08-03,"1"
"294",2016-08-04,"1"
"295",2016-08-05,"1"
"296",2016-08-06,"1"
"297",2016-08-07,"1"
"298",2016-08-08,"1"
"299",2016-08-09,"1"
"300",2016-08-10,"1"
"301",2016-08-11,"1"
"302",2016-08-12,"1"
"303",2016-08-13,"1"
"304",2016-08-14,"1"
"305",2016-08-15,"1"
"306",2016-08-16,"1"
"307",2016-08-17,"1"
"308",2016-08-18,"1"
"309",2016-08-19,"1"
"310",2016-08-20,"1"
"311",2016-08-21,"1"
"312",2016-08-22,"1"
"313",2016-08-23,"1"
"314",2016-08-24,"1"
"315",2016-08-25,"1"
"316",2016-08-26,"1"
"317",2016-08-27,"1"
"318",2016-08-28,"1"
"319",2016-08-29,"1"
"320",2016-08-30,"1"
"321",2016-08-31,"1"
"322",2016-09-01,"1"
"323",2016-09-02,"1"
"324",2016-09-03,"1"
"325",2016-10-17,"1"
"326",2016-10-18,"1"
"327",2016-10-19,"1"
"328",2016-10-20,"1"
"329",2016-10-21,"1"
"330",2016-10-22,"1"
"331",2016-10-23,"1"
"332",2016-10-24,"1"
"333",2016-10-25,"1"
"334",2016-10-26,"1"
"335",2016-10-27,"1"
"336",2016-10-28,"1"
"337",2016-10-29,"1"
"338",2016-12-23,"1"
"339",2016-12-24,"1"
"340",2016-12-25,"1"
"341",2016-12-26,"1"
"342",2016-12-27,"1"
"343",2016-12-28,"1"
"344",2016-12-29,"1"
"345",2016-12-30,"1"
"346",2016-12-31,"1"
"347",2017-01-01,"1"
"348",2017-01-02,"1"
"349",2017-01-03,"1"
"350",2017-01-04,"1"
"351",2017-01-05,"1"
"352",2017-01-06,"1"
"353",2017-04-07,"1"
"354",2017-04-08,"1"
"355",2017-04-09,"1"
"356",2017-04-10,"1"
"357",2017-04-11,"1"
"358",2017-04-12,"1"
"359",2017-04-13,"1"
"360",2017-04-14,"1"
"361",2017-04-15,"1"
"362",2017-04-16,"1"
"363",2017-04-17,"1"
"364",2017-04-18,"1"
"365",2017-04-19,"1"
"366",2017-04-20,"1"
"367",2017-04-21,"1"
"368",2017-05-26,"1"
"369",2017-07-24,"1"
"370",2017-07-25,"1"
"371",2017-07-26,"1"
"372",2017-07-27,"1"
"373",2017-07-28,"1"
"374",2017-07-29,"1"
"375",2017-07-30,"1"
"376",2017-07-31,"1"
"377",2017-08-01,"1"
"378",2017-08-02,"1"
"379",2017-08-03,"1"
"380",2017-08-04,"1"
"381",2017-08-05,"1"
"382",2017-08-06,"1"
"383",2017-08-07,"1"
"384",2017-08-08,"1"
"385",2017-08-09,"1"
"386",2017-08-10,"1"
"387",2017-08-11,"1"
"388",2017-08-12,"1"
"389",2017-08-13,"1"
"390",2017-08-14,"1"
"391",2017-08-15,"1"
"392",2017-08-16,"1"
"393",2017-08-17,"1"
"394",2017-08-18,"1"
"395",2017-08-19,"1"
"396",2017-08-20,"1"
